Date/Time,Swimming Distance (yd),Source
2022-01-06 09:26:10,1.38,Alan’s Apple Watch
2022-01-06 09:26:11,1.38,Alan’s Apple Watch
2022-01-06 09:26:12,1.38,Alan’s Apple Watch
2022-01-06 09:26:13,1.38,Alan’s Apple Watch
2022-01-06 09:26:14,1.38,Alan’s Apple Watch
2022-01-06 09:26:15,1.38,Alan’s Apple Watch
2022-01-06 09:26:16,1.38,Alan’s Apple Watch
2022-01-06 09:26:17,1.38,Alan’s Apple Watch
2022-01-06 09:26:18,1.38,Alan’s Apple Watch
2022-01-06 09:26:19,1.38,Alan’s Apple Watch
2022-01-06 09:26:20,1.38,Alan’s Apple Watch
2022-01-06 09:26:21,1.38,Alan’s Apple Watch
2022-01-06 09:26:22,1.38,Alan’s Apple Watch
2022-01-06 09:26:23,1.38,Alan’s Apple Watch
2022-01-06 09:26:24,1.28,Alan’s Apple Watch
2022-01-06 09:26:31,0.31,Alan’s Apple Watch
2022-01-06 09:26:32,1.11,Alan’s Apple Watch
2022-01-06 09:26:33,1.11,Alan’s Apple Watch
2022-01-06 09:26:34,1.11,Alan’s Apple Watch
2022-01-06 09:26:35,1.11,Alan’s Apple Watch
2022-01-06 09:26:36,1.11,Alan’s Apple Watch
2022-01-06 09:26:37,1.11,Alan’s Apple Watch
2022-01-06 09:26:38,1.11,Alan’s Apple Watch
2022-01-06 09:26:39,1.11,Alan’s Apple Watch
2022-01-06 09:26:40,1.11,Alan’s Apple Watch
2022-01-06 09:26:41,1.11,Alan’s Apple Watch
2022-01-06 09:26:42,1.11,Alan’s Apple Watch
2022-01-06 09:26:43,1.11,Alan’s Apple Watch
2022-01-06 09:26:44,1.11,Alan’s Apple Watch
2022-01-06 09:26:45,1.11,Alan’s Apple Watch
2022-01-06 09:26:46,1.11,Alan’s Apple Watch
2022-01-06 09:26:47,1.11,Alan’s Apple Watch
2022-01-06 09:26:48,1.11,Alan’s Apple Watch
2022-01-06 09:26:49,1.11,Alan’s Apple Watch
2022-01-06 09:26:50,1.11,Alan’s Apple Watch
2022-01-06 09:26:51,1.11,Alan’s Apple Watch
2022-01-06 09:26:52,1.11,Alan’s Apple Watch
2022-01-06 09:26:53,1.11,Alan’s Apple Watch
2022-01-06 09:26:54,0.289,Alan’s Apple Watch
2022-01-06 09:27:04,0.999,Alan’s Apple Watch
2022-01-06 09:27:05,2,Alan’s Apple Watch
2022-01-06 09:27:06,2,Alan’s Apple Watch
2022-01-06 09:27:07,2,Alan’s Apple Watch
2022-01-06 09:27:08,2,Alan’s Apple Watch
2022-01-06 09:27:09,2,Alan’s Apple Watch
2022-01-06 09:27:10,2,Alan’s Apple Watch
2022-01-06 09:27:11,2,Alan’s Apple Watch
2022-01-06 09:27:12,2,Alan’s Apple Watch
