Date/Time,Active Energy (kcal),Source
2022-01-06 09:24:02,0.017,Alan’s Apple Watch
2022-01-06 09:24:03,0.017,Alan’s Apple Watch
2022-01-06 09:24:04,0.017,Alan’s Apple Watch
2022-01-06 09:24:05,0.017,Alan’s Apple Watch
2022-01-06 09:24:06,0.017,Alan’s Apple Watch
2022-01-06 09:24:07,0.017,Alan’s Apple Watch
2022-01-06 09:24:08,0.017,Alan’s Apple Watch
2022-01-06 09:24:09,0.017,Alan’s Apple Watch
2022-01-06 09:24:10,0.017,Alan’s Apple Watch
2022-01-06 09:24:11,0.017,Alan’s Apple Watch
2022-01-06 09:24:12,0.211,Alan’s Apple Watch
2022-01-06 09:24:13,0.214,Alan’s Apple Watch
2022-01-06 09:24:14,0.214,Alan’s Apple Watch
2022-01-06 09:24:15,0.214,Alan’s Apple Watch
2022-01-06 09:24:16,0.214,Alan’s Apple Watch
2022-01-06 09:24:17,0.213,Alan’s Apple Watch
2022-01-06 09:24:18,0.213,Alan’s Apple Watch
2022-01-06 09:24:19,0.213,Alan’s Apple Watch
2022-01-06 09:24:20,0.213,Alan’s Apple Watch
2022-01-06 09:24:21,0.213,Alan’s Apple Watch
2022-01-06 09:24:22,0.213,Alan’s Apple Watch
2022-01-06 09:24:23,0.213,Alan’s Apple Watch
2022-01-06 09:24:24,0.186,Alan’s Apple Watch
2022-01-06 09:24:25,0.017,Alan’s Apple Watch
2022-01-06 09:24:26,0.017,Alan’s Apple Watch
2022-01-06 09:24:27,0.017,Alan’s Apple Watch
2022-01-06 09:24:28,0.017,Alan’s Apple Watch
2022-01-06 09:24:29,0.017,Alan’s Apple Watch
2022-01-06 09:24:30,0.017,Alan’s Apple Watch
2022-01-06 09:24:31,0.017,Alan’s Apple Watch
2022-01-06 09:24:32,0.017,Alan’s Apple Watch
2022-01-06 09:24:33,0.017,Alan’s Apple Watch
2022-01-06 09:24:34,0.017,Alan’s Apple Watch
2022-01-06 09:24:35,0.017,Alan’s Apple Watch
2022-01-06 09:24:36,0.017,Alan’s Apple Watch
2022-01-06 09:24:37,0.017,Alan’s Apple Watch
2022-01-06 09:24:38,0.017,Alan’s Apple Watch
2022-01-06 09:24:39,0.017,Alan’s Apple Watch
2022-01-06 09:24:40,0.017,Alan’s Apple Watch
2022-01-06 09:24:41,0.017,Alan’s Apple Watch
2022-01-06 09:24:42,0.017,Alan’s Apple Watch
2022-01-06 09:24:43,0.017,Alan’s Apple Watch
2022-01-06 09:24:44,0.017,Alan’s Apple Watch
2022-01-06 09:24:45,0.121,Alan’s Apple Watch
2022-01-06 09:24:46,0.197,Alan’s Apple Watch
2022-01-06 09:24:47,0.195,Alan’s Apple Watch
2022-01-06 09:24:48,0.198,Alan’s Apple Watch
2022-01-06 09:24:49,0.197,Alan’s Apple Watch
2022-01-06 09:24:50,0.197,Alan’s Apple Watch
2022-01-06 09:24:51,0.197,Alan’s Apple Watch
2022-01-06 09:24:52,0.197,Alan’s Apple Watch
2022-01-06 09:24:53,0.197,Alan’s Apple Watch
2022-01-06 09:24:54,0.197,Alan’s Apple Watch
2022-01-06 09:24:55,0.197,Alan’s Apple Watch
2022-01-06 09:24:56,0.197,Alan’s Apple Watch
2022-01-06 09:24:57,0.197,Alan’s Apple Watch
